epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6919,1.48143,5.05128,1.90348,0.43868,0.575,0.4242,0.26041,1.7244,6.89562,2.3887,0.00023338,0.00023338,0.00023338
2,17.0078,1.22501,2.55198,1.62145,0.51745,0.48934,0.4508,0.31301,1.85219,4.17308,2.45958,0.000476593,0.000476593,0.000476593
3,23.2387,1.18742,1.76982,1.52584,0.00013,0.05,8e-05,1e-05,4.10409,23.9484,4.47895,0.000712733,0.000712733,0.000712733
4,28.5815,1.41399,1.70614,1.7553,0.06471,0.3125,0.10588,0.04206,2.39636,7.92086,4.79208,0.0009418,0.0009418,0.0009418
5,33.6391,1.39346,1.75592,1.71507,0.08331,0.1125,0.03318,0.00872,2.94824,6.87312,3.37673,0.00116379,0.00116379,0.00116379
6,39.4151,1.45576,1.71485,1.75838,0.13345,0.025,0.03103,0.00575,4.08626,7.60376,5.43202,0.00137872,0.00137872,0.00137872
7,44.3593,1.33793,1.52139,1.69262,0.5131,0.025,0.00413,0.00148,3.09589,19.3567,3.49118,0.00152554,0.00152554,0.00152554
8,50.1401,1.31555,1.56041,1.65728,0,0,0,0,4.68749,5.1436,5.13944,0.00150197,0.00150197,0.00150197
9,55.1908,1.28155,1.42317,1.65826,0.83132,0.025,0.02296,0.00271,3.84289,6.16113,4.8623,0.00147839,0.00147839,0.00147839
10,60.2169,1.309,1.48866,1.63866,0.68624,0.0625,0.03438,0.00474,2.76689,5.98089,3.11531,0.00145481,0.00145481,0.00145481
11,66.025,1.36985,1.61441,1.66458,1,0.11856,0.21039,0.0955,2.54623,5.06443,2.94668,0.00143124,0.00143124,0.00143124
12,71.0257,1.22429,1.37834,1.54749,0.60413,0.3125,0.37042,0.18702,2.0351,3.34146,2.37707,0.00140766,0.00140766,0.00140766
13,77.1137,1.37365,1.36621,1.6472,0.59589,0.60216,0.48485,0.32374,1.82249,4.04336,2.20147,0.00138409,0.00138409,0.00138409
14,82.4527,1.2262,1.26774,1.5528,0.64678,0.175,0.14343,0.0498,3.11127,4.18504,3.39894,0.00136051,0.00136051,0.00136051
15,88.1497,1.1936,1.16734,1.50968,0.44566,0.4,0.33293,0.14493,2.41504,4.69358,2.78549,0.00133693,0.00133693,0.00133693
16,93.3934,1.15554,1.08514,1.48749,0.18044,0.475,0.19688,0.06478,2.6822,8.09181,2.98036,0.00131336,0.00131336,0.00131336
17,98.3902,1.28128,1.32009,1.58229,0.53963,0.45,0.38366,0.20689,2.18689,2.83054,2.63245,0.00128978,0.00128978,0.00128978
18,104.237,1.25275,1.2264,1.56265,0.70413,0.44021,0.4625,0.22303,2.1133,3.27845,2.54243,0.00126621,0.00126621,0.00126621
19,109.345,1.22919,1.2578,1.53948,0.60813,0.35,0.33316,0.16812,2.06884,2.57809,2.56316,0.00124263,0.00124263,0.00124263
20,115.439,1.16757,1.12015,1.49369,0.57983,0.62099,0.64375,0.33702,2.00439,1.75156,2.55271,0.00121905,0.00121905,0.00121905
21,120.428,1.18086,1.22527,1.50756,0.62464,0.525,0.60125,0.3994,1.88849,1.76426,2.48378,0.00119548,0.00119548,0.00119548
22,125.753,1.14402,1.15599,1.45296,0.61692,0.6125,0.68409,0.49524,1.52072,1.60249,1.93374,0.0011719,0.0011719,0.0011719
23,131.445,1.1354,1.14273,1.46867,0.79536,0.51839,0.66156,0.42945,1.60847,1.59811,1.70722,0.00114832,0.00114832,0.00114832
24,136.427,1.16274,1.14458,1.50423,0.49817,0.46188,0.49316,0.29864,1.73203,1.74897,2.0392,0.00112475,0.00112475,0.00112475
25,142.565,1.12633,1.07096,1.42898,0.80006,0.2875,0.3798,0.23183,1.73399,1.95128,2.07804,0.00110117,0.00110117,0.00110117
26,147.58,1.17918,1.11041,1.49346,0.55362,0.2125,0.24971,0.12296,2.08662,2.71188,2.49387,0.0010776,0.0010776,0.0010776
27,153.105,1.16613,1.0941,1.48862,0.79948,0.42416,0.56505,0.38409,1.50645,1.90462,1.84506,0.00105402,0.00105402,0.00105402
28,158.43,1.12351,1.07391,1.46646,0.8225,0.51388,0.68778,0.469,1.36923,1.60939,1.69011,0.00103044,0.00103044,0.00103044
29,163.653,1.06876,1.05942,1.4037,0.91366,0.7,0.77266,0.51918,1.33222,1.30083,1.66846,0.00100687,0.00100687,0.00100687
30,169.83,1.06207,1.0457,1.43753,0.92689,0.57974,0.76075,0.52548,1.31807,1.25576,1.77874,0.000983292,0.000983292,0.000983292
31,174.905,1.09466,1.03639,1.41524,0.64641,0.67457,0.75611,0.53258,1.31812,1.24139,1.77232,0.000959716,0.000959716,0.000959716
32,180.749,1.17387,0.99991,1.43643,0.86807,0.68303,0.81766,0.60893,1.2548,1.13542,1.60983,0.00093614,0.00093614,0.00093614
33,185.77,1.07822,0.94902,1.39416,0.89004,0.64641,0.78765,0.57626,1.37523,1.10966,1.71496,0.000912563,0.000912563,0.000912563
34,191.326,1.06348,0.91728,1.39938,0.8594,0.71898,0.84539,0.57626,1.32884,1.07401,1.65849,0.000888987,0.000888987,0.000888987
35,196.788,0.98245,0.86733,1.34599,0.51559,0.675,0.60759,0.451,1.5008,2.2403,1.92758,0.000865411,0.000865411,0.000865411
36,201.765,1.02118,0.87561,1.36704,0.86391,0.65706,0.79261,0.50873,1.41363,1.31188,1.71162,0.000841835,0.000841835,0.000841835
37,207.794,1.0433,0.98108,1.43463,0.87839,0.7375,0.77867,0.59907,1.24292,1.43048,1.60364,0.000818259,0.000818259,0.000818259
38,212.783,0.94937,0.92555,1.3272,0.96419,0.675,0.83067,0.60586,1.30487,1.10965,1.59862,0.000794683,0.000794683,0.000794683
39,218.526,1.09875,0.85626,1.39381,0.94311,0.5875,0.80379,0.53171,1.39648,1.26495,1.68047,0.000771107,0.000771107,0.000771107
40,223.54,0.9875,0.81541,1.31768,0.8322,0.71689,0.80174,0.5654,1.41354,1.18342,1.68204,0.00074753,0.00074753,0.00074753
41,228.51,1.0773,0.90784,1.38933,0.82724,0.675,0.72658,0.52638,1.33988,1.2937,1.64545,0.000723954,0.000723954,0.000723954
42,234.374,1.01471,0.83762,1.36541,0.68928,0.75201,0.82799,0.6256,1.28799,1.36189,1.65499,0.000700378,0.000700378,0.000700378
43,239.408,0.96367,0.91336,1.33059,0.5598,0.81382,0.81303,0.61305,1.30637,1.75433,1.74596,0.000676802,0.000676802,0.000676802
